review_id,review_date,channel,topic,district,review_text,sentiment_label
R00001,2024-01-16,Facebook,Delivery,Karonga,The app was easy to use and checkout was smooth.,positive
R00002,2024-01-11,WhatsApp,App,Mzuzu,I am happy with the customer care and product availability.,positive
R00003,2025-06-21,App Review,Service,Salima,I am happy with the customer care and product availability.,positive
R00004,2025-05-15,Facebook,App,Thyolo,I could not find the product and prices were confusing.,negative
R00005,2025-08-15,App Review,Delivery,Rumphi,I am happy with the customer care and product availability.,positive
R00006,2024-10-26,WhatsApp,Product Availability,Rumphi,The shop was open and stocked as usual.,neutral
R00007,2025-01-26,WhatsApp,Delivery,Mzimba,Delivery was quick and the product quality was excellent.,positive
R00008,2025-08-22,Email,Pricing,Salima,"Very good experience, clean shop and fair prices.",positive
R00009,2025-07-02,Survey,Delivery,Rumphi,The order was completed without any major issue.,neutral
R00010,2025-12-25,Email,Product Availability,Lilongwe,The app was easy to use and checkout was smooth.,positive
R00011,2024-11-26,Survey,Delivery,Kasungu,The app kept failing and payment did not go through.,negative
R00012,2025-09-04,Survey,Delivery,Rumphi,Delivery was quick and the product quality was excellent.,positive
R00013,2024-01-30,WhatsApp,Service,Mzuzu,The queue was too long and staff were rude.,negative
R00014,2025-03-16,WhatsApp,Delivery,Dedza,I could not find the product and prices were confusing.,negative
R00015,2024-12-13,Survey,Pricing,Salima,The queue was too long and staff were rude.,negative
R00016,2024-10-18,WhatsApp,App,Blantyre,The queue was too long and staff were rude.,negative
R00017,2024-10-08,Email,App,Kasungu,"Very good experience, clean shop and fair prices.",positive
R00018,2024-05-19,WhatsApp,Service,Salima,I am happy with the customer care and product availability.,positive
R00019,2025-10-09,Facebook,Service,Lilongwe,Delivery was quick and the product quality was excellent.,positive
R00020,2025-06-23,Email,Pricing,Dedza,The queue was too long and staff were rude.,negative
R00021,2024-03-30,WhatsApp,Delivery,Kasungu,The order was completed without any major issue.,neutral
R00022,2025-10-07,Facebook,Pricing,Thyolo,The process was normal and the prices were average.,neutral
R00023,2025-07-11,App Review,Delivery,Dedza,The process was normal and the prices were average.,neutral
R00024,2024-11-20,WhatsApp,App,Lilongwe,The process was normal and the prices were average.,neutral
R00025,2024-12-26,Email,Pricing,Rumphi,I am happy with the customer care and product availability.,positive
R00026,2024-02-23,Email,Service,Mzuzu,"Very good experience, clean shop and fair prices.",positive
R00027,2025-04-06,Survey,Service,Kasungu,I am happy with the customer care and product availability.,positive
R00028,2025-11-19,App Review,Product Availability,Blantyre,I could not find the product and prices were confusing.,negative
R00029,2025-05-03,App Review,App,Blantyre,Delivery was late and the item was damaged.,negative
R00030,2024-10-28,WhatsApp,Pricing,Mangochi,The app kept failing and payment did not go through.,negative
R00031,2024-09-06,App Review,Service,Kasungu,Delivery was late and the item was damaged.,negative
R00032,2025-07-08,App Review,Product Availability,Blantyre,The app kept failing and payment did not go through.,negative
R00033,2025-04-06,Survey,Service,Mangochi,The service was poor and no one helped me.,negative
R00034,2025-03-23,App Review,Product Availability,Mzimba,"Very good experience, clean shop and fair prices.",positive
R00035,2024-01-05,App Review,Service,Mzuzu,I am happy with the customer care and product availability.,positive
R00036,2025-03-04,WhatsApp,Delivery,Mzuzu,I bought what I needed and left.,neutral
R00037,2025-09-17,App Review,Product Availability,Dedza,I could not find the product and prices were confusing.,negative
R00038,2024-05-20,Facebook,App,Mangochi,I could not find the product and prices were confusing.,negative
R00039,2024-10-05,Email,Delivery,Lilongwe,Delivery was quick and the product quality was excellent.,positive
R00040,2024-07-03,Facebook,Delivery,Thyolo,Delivery was quick and the product quality was excellent.,positive
R00041,2025-01-25,WhatsApp,Service,Zomba,"Very good experience, clean shop and fair prices.",positive
R00042,2024-03-03,Survey,Product Availability,Dedza,Delivery was quick and the product quality was excellent.,positive
R00043,2024-10-20,Facebook,App,Blantyre,I could not find the product and prices were confusing.,negative
R00044,2024-02-10,Survey,Product Availability,Rumphi,The order was completed without any major issue.,neutral
R00045,2024-04-01,Facebook,Product Availability,Kasungu,The app was easy to use and checkout was smooth.,positive
R00046,2025-08-01,Email,Product Availability,Lilongwe,I am happy with the customer care and product availability.,positive
R00047,2025-03-11,WhatsApp,Delivery,Blantyre,The queue was too long and staff were rude.,negative
R00048,2025-08-30,App Review,Service,Blantyre,The queue was too long and staff were rude.,negative
R00049,2024-12-07,Email,Delivery,Mzuzu,The service was poor and no one helped me.,negative
R00050,2024-05-19,WhatsApp,Pricing,Salima,I could not find the product and prices were confusing.,negative
